    HandType, Income Rate, Error, SD, Iteration
87s, 0.2874, 0.0009089, 3.257, 3
88, 0.4704, 0.001487, 3.513, 3
92o, -0.4732, -0.001496, 2.137, 3
92s, -0.08557, -0.0002706, 2.812, 3
93o, -0.4547, -0.001438, 2.155, 3
93s, -0.06820, -0.0002157, 2.825, 3
94o, -0.4418, -0.001397, 2.169, 3
94s, -0.04628, -0.0001463, 2.847, 3
95o, -0.3258, -0.001030, 2.379, 3
95s, 0.05211, 0.0001648, 2.973, 3
96o, -0.2278, -0.0007204, 2.553, 3
96s, 0.1699, 0.0005373, 3.122, 3
97o, -0.1108, -0.0003505, 2.731, 3
97s, 0.2543, 0.0008041, 3.221, 3
98o, -0.005366, -1.697e-05, 2.884, 3
98s, 0.3462, 0.001095, 3.327, 3
